nameOrig,nameDest,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,origin_balance_change,destination_balance_change,amount_origin_ratio,amount_destination_ratio,ANOMALY_SCORE,STATUS
C80571844,C310383504,TRANSFER,15822130.17,0.0,0.0,129168459.28,192278925.55,0.0,63110466.27000001,15822130.17,0.12249221006197783,-0.18620509469262125,Flagged for Review
C1518444935,C821676364,TRANSFER,10000000.0,0.0,0.0,30132859.5,51919045.75,0.0,21786186.25,10000000.0,0.33186361447496826,-0.18215255776264572,Flagged for Review
C1011847188,C1191573842,TRANSFER,10000000.0,0.0,0.0,50087396.39,72491028.06,0.0,22403631.67,10000000.0,0.19965102043805755,-0.18215255776264572,Flagged for Review
C1759277936,C2115397483,TRANSFER,10000000.0,0.0,0.0,30044656.98,47662108.83,0.0,17617451.849999998,10000000.0,0.3328378711003053,-0.17958412001062884,Flagged for Review
C385490956,C1487890981,TRANSFER,10000000.0,0.0,0.0,30200815.46,47070380.59,0.0,16869565.130000003,10000000.0,0.33111687603693346,-0.17958412001062884,Flagged for Review
C166630777,C1732158567,TRANSFER,10000000.0,0.0,0.0,31964425.06,50041169.68,0.0,18076744.62,10000000.0,0.31284778838916527,-0.17958412001062884,Flagged for Review
C785717109,C1928603721,TRANSFER,10000000.0,509757.0,0.0,0.0,34296726.19,509757.0,34296726.19,19.617151668046407,10000000.0,-0.17856171815402377,Flagged for Review
C433764902,C82947915,TRANSFER,10000000.0,0.0,0.0,20000000.0,40880103.34,0.0,20880103.340000004,10000000.0,0.49999997500000126,-0.17848584107749355,Flagged for Review
C1368954627,C601303605,TRANSFER,10000000.0,0.0,0.0,20000000.0,41752611.51,0.0,21752611.509999998,10000000.0,0.49999997500000126,-0.17848584107749355,Flagged for Review
C1247182605,C1381840127,TRANSFER,15488604.7,0.0,0.0,48862801.64,67758193.06,0.0,18895391.42,15488604.7,0.316981504604092,-0.1781200782336647,Flagged for Review
C1293974771,C510491840,TRANSFER,10000000.0,0.0,0.0,40000000.0,53592538.48,0.0,13592538.479999997,10000000.0,0.24999999375000015,-0.17775448033272356,Flagged for Review
C759432974,C1273851165,TRANSFER,10000000.0,0.0,0.0,30000000.0,44451592.57,0.0,14451592.57,10000000.0,0.3333333222222226,-0.17702377906200983,Flagged for Review
C1551366539,C743224470,TRANSFER,10000000.0,0.0,0.0,20005665.11,39712018.34,0.0,19706353.230000004,10000000.0,0.49985838736963706,-0.17665867554357395,Flagged for Review
C431054535,C909263528,TRANSFER,11368244.85,0.0,0.0,12367708.4,45189871.38,0.0,32822162.980000004,11368244.85,0.9191875780975254,-0.17665867554357395,Flagged for Review
C1667637615,C1131293196,TRANSFER,10000000.0,286717.0,0.0,0.0,24436721.81,286717.0,24436721.81,34.87747542881856,10000000.0,-0.17636940867528572,Flagged for Review
C2002476909,C1732158567,TRANSFER,10000000.0,0.0,0.0,11964425.06,50041169.68,0.0,38076744.62,10000000.0,0.8358110911339445,-0.17629373667069903,Flagged for Review
C2018023931,C506614484,TRANSFER,10000000.0,0.0,0.0,30000000.0,43236339.28,0.0,13236339.280000001,10000000.0,0.3333333222222226,-0.17592896236913735,Flagged for Review
C70106818,C53048224,TRANSFER,10000000.0,0.0,0.0,20000000.0,38126719.06,0.0,18126719.060000002,10000000.0,0.49999997500000126,-0.17592896236913735,Flagged for Review
C1891941247,C993603737,TRANSFER,10000000.0,0.0,0.0,20004354.86,36677952.44,0.0,16673597.579999998,10000000.0,0.4998911272117312,-0.17592896236913735,Flagged for Review
